South Asia,SAS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.0740422646886
Sudan,SDN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,83.8333
Senegal,SEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,45.82485
Sierra Leone,SLE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,61.59705
El Salvador,SLV,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,28.48286
Sub-Saharan Africa (excluding high income),SSA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,56.6243215094321
South Sudan,SSD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,94.20176
Sub-Saharan Africa,SSF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,56.6243215094321
Sao Tome and Principe,STP,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,56.52039
Suriname,SUR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,12.45228
Eswatini,SWZ,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,25.65619
Chad,TCD,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,84.82007
Togo,TGO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,49.81214
Thailand,THA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,10.94107
Tajikistan,TJK,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,32.98425
Turkmenistan,TKM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,9.50701
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,19.477964093779
Timor-Leste,TLS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,46.0
Middle East & North Africa (IDA & IBRD countries),TMN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,23.4616410164528
South Asia (IDA & IBRD),TSA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,53.0740422646886
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,56.6243215094321
Trinidad and Tobago,TTO,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,7.94
Tunisia,TUN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,9.64392
Turkiye,TUR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,16.21716
Tanzania,TZA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,55.78221
Uganda,UGA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,64.76776
Ukraine,UKR,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,1.8
Uruguay,URY,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,8.77286
Viet Nam,VNM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,15.65365
"Yemen, Rep.",YEM,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,48.083
South Africa,ZAF,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,25.32466
Zambia,ZMB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,54.4687
Zimbabwe,ZWE,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,23.94962
